rcrfr_id,rcrfr_nm,ctprv_nm,rcrfr_sctn_nm,max_accpn_cnt,mnagn_nm,provd_instt_cd,provd_instt_nm,besl_tm_xcrd,besl_tm_ycrd,wgs84_lltd_xcrd,wgs84_lltd_ycrd,examin_realm_se_code_nm,spcs_lcnm,spcs_scncenm,exam_yr
117,백야자연휴양림,충청북도,공유림,250,충청북도 음성군,6430000,충청북도,365429.5,484028,127.6096085,36.9570995,포유류,노루,Capreolus pygargus (,2015
118,소선암자연휴양림,충청북도,공유림,500,충청북도 단양군청,6430000,충청북도,427890,479824,128.310837,36.919449,포유류,우수리박쥐,Myotis petax Hollist,2015
119,만인산자연휴양림,대전광역시,공유림,5000,대전광역시 공원관리사업소,6300000,대전광역시,350608.6667,400331.3333,127.4485777,36.202174,포유류,멧돼지,"Sus scrofa Linnaeus,",2015
120,장태산자연휴양림,대전광역시,공유림,6000,대전광역시 공원관리사업소,6300000,대전광역시,340983,401883,127.341427,36.215613,포유류,고라니,Hydropotes inermis S,2018
121,데미샘자연휴양림,전라북도,공유림,131,산림환경연구소,6450000,전라북도,350715.6471,338240.4118,127.4536305,35.64255929,포유류,족제비,Mustela sibirica Pal,2007
122,운장산자연휴양림,전라북도,국유림,600,무주국유림관리소,6450000,전라북도,347667.5,367024,127.418086,35.90183,포유류,족제비,Mustela sibirica Pal,2007
123,무주자연휴양림,전라북도,공유림,40,시설사업소,6450000,전라북도,378479.3333,379247.3333,127.7590877,36.01317,포유류,멧돼지,"Sus scrofa Linnaeus,",2015
124,덕유산자연휴양림,전라북도,국유림,730,국립자연휴양림관리소,6450000,전라북도,384247.4118,365341.8235,127.823356,35.88794759,포유류,노루,Capreolus pygargus (,2015
125,와룡자연휴양림,전라북도,공유림,102,장수군청,6450000,전라북도,353030.9722,343919.0555,127.478862,35.6938565,포유류,족제비,Mustela sibirica Pal,2007
126,방화동자연휴양림,전라북도,공유림,62,장수군청,6450000,전라북도,357465,333215,127.528423,35.597578,포유류,고라니,Hydropotes inermis S,2017
126,방화동자연휴양림,전라북도,공유림,62,장수군청,6450000,전라북도,357465,333215,127.528423,35.597578,포유류,염소,Capra hircus,2017
127,세심자연휴양림,전라북도,공유림,68,임실군청,6450000,전라북도,331275,324138.3333,127.240177,35.51429233,포유류,족제비,Mustela sibirica Pal,2007
